R_0_1,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.5,0.5,-1.91E-14,-3.16E-15,0.766666667,0.875595036
0.5,0.65,-3.43E-16,-6.43E-14,0.766666667,0.875595036
0.5,0.8,-1.73E-15,8.63E-12,0.766666667,0.875595036
0.5,0.95,-1.11E-15,1.73E-06,0.766666667,0.875593164
0.5,1.1,5.45E-15,0.078983533,0.766666667,0.78983532
0.5,1.25,5.26E-13,0.171956977,0.766666667,0.687827908
0.5,1.4,3.15E-14,0.243402755,0.766666667,0.608506887
0.5,1.55,7.59E-16,0.299841482,0.766666667,0.545166331
0.5,1.7,-4.58E-15,0.345440799,0.766666667,0.493486855
0.5,1.85,1.61E-14,0.38297998,0.766666667,0.450564683
0.5,2,3.98E-15,0.414378173,0.766666667,0.414378173
0.5,2.15,-1.44E-14,0.440999839,0.766666667,0.383478121
0.5,2.3,-2.97E-14,0.463839497,0.766666667,0.356799613
0.5,2.45,-6.48E-15,0.483637747,0.766666667,0.333543274
0.5,2.6,-2.24E-14,0.500956534,0.766666667,0.313097833
0.5,2.75,-1.15E-14,0.516229346,0.766666667,0.294988198
0.5,2.9,-1.72E-14,0.529795527,0.766666667,0.278839751
0.5,3.05,-7.95E-15,0.541924234,0.766666667,0.264353285
0.5,3.2,-1.56E-14,0.552831501,0.766666667,0.251287046
0.5,3.35,-2.29E-14,0.562692589,0.766666667,0.239443655
0.5,3.5,-2.03E-14,0.571651077,0.766666667,0.228660431
0.5,3.65,-5.92E-15,0.579825645,0.766666667,0.21880213
0.5,3.8,-9.46E-15,0.587315196,0.766666667,0.209755427
0.5,3.95,-1.47E-14,0.594202774,0.766666667,0.201424669
0.5,4.1,-2.15E-14,0.600558598,0.766666667,0.19372858
0.5,4.25,2.20E-13,0.606442426,0.766666667,0.18659767
0.5,4.4,-3.71E-15,0.611905418,0.766666667,0.179972182
0.5,4.55,-2.41E-14,0.616991617,0.766666667,0.173800455
0.5,4.7,-6.09E-15,0.621739143,0.766666667,0.168037606
0.5,4.85,-1.19E-14,0.626181146,0.766666667,0.162644453
0.5,5,-1.78E-14,0.630346587,0.766666667,0.157586647
0.5,5.15,-9.45E-15,0.634260879,0.766666667,0.152833947
0.5,5.3,-2.44E-13,0.637946408,0.766666667,0.14835963
0.5,5.45,-4.06E-15,0.641422975,0.766666667,0.144139994
0.5,5.6,-3.26E-14,0.64470815,0.766666667,0.140153946
0.5,5.75,-1.64E-14,0.647817584,0.766666667,0.136382649
