R_0_1,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.5,0.5,-2.47E-14,-3.00E-14,0.766666667,0.875595036
0.5,0.65,-1.48E-14,-2.46E-13,0.766666667,0.875595036
0.5,0.8,4.04E-15,-2.42E-11,0.766666667,0.875595035
0.5,0.95,2.64E-15,1.66E-06,0.766666667,0.875593244
0.5,1.1,2.34E-16,0.078983532,0.766666667,0.789835321
0.5,1.25,1.64E-13,0.171956977,0.766666667,0.687827908
0.5,1.4,-2.09E-14,0.243402755,0.766666667,0.608506887
0.5,1.55,-9.73E-15,0.299841482,0.766666667,0.545166331
0.5,1.7,-2.11E-14,0.345440799,0.766666667,0.493486855
0.5,1.85,-4.78E-14,0.38297998,0.766666666,0.450564683
0.5,2,-7.60E-15,0.414378173,0.766666667,0.414378173
0.5,2.15,-4.12E-15,0.440999839,0.766666667,0.383478121
0.5,2.3,-7.15E-15,0.463839497,0.766666667,0.356799613
0.5,2.45,-1.17E-14,0.483637747,0.766666667,0.333543274
0.5,2.6,-1.18E-14,0.500956534,0.766666667,0.313097833
0.5,2.75,-1.13E-15,0.516229346,0.766666667,0.294988198
0.5,2.9,-1.79E-14,0.529795527,0.766666667,0.278839751
0.5,3.05,-6.24E-15,0.541924234,0.766666667,0.264353285
0.5,3.2,-4.46E-14,0.552831501,0.766666667,0.251287046
0.5,3.35,-8.78E-15,0.562692589,0.766666667,0.239443655
0.5,3.5,-3.15E-15,0.571651077,0.766666667,0.228660431
0.5,3.65,-3.03E-15,0.579825645,0.766666667,0.21880213
0.5,3.8,-2.68E-14,0.587315196,0.766666667,0.209755427
0.5,3.95,4.77E-15,0.594202774,0.766666667,0.201424669
0.5,4.1,-2.69E-15,0.600558598,0.766666667,0.19372858
0.5,4.25,-1.69E-15,0.606442426,0.766666667,0.18659767
0.5,4.4,-1.22E-14,0.611905418,0.766666667,0.179972182
0.5,4.55,1.59E-12,0.616991617,0.766666667,0.173800455
0.5,4.7,-2.41E-14,0.621739143,0.766666667,0.168037606
0.5,4.85,-8.94E-15,0.626181146,0.766666667,0.162644453
0.5,5,-4.52E-15,0.630346587,0.766666667,0.157586647
0.5,5.15,-1.64E-13,0.634260879,0.766666667,0.152833947
0.5,5.3,1.87E-14,0.637946408,0.766666667,0.14835963
0.5,5.45,-4.51E-15,0.641422975,0.766666667,0.144139994
0.5,5.6,-7.83E-15,0.64470815,0.766666667,0.140153946
0.5,5.75,-1.47E-14,0.647817584,0.766666667,0.136382649
0.5,5.9,7.80E-15,0.650765258,0.766666667,0.132809236
0.5,6.05,-2.60E-15,0.653563702,0.766666667,0.129418555
0.5,6.2,-2.39E-14,0.656224179,0.766666667,0.126196958
0.5,6.35,-3.17E-14,0.65875684,0.766666667,0.12313212
0.5,6.5,-2.10E-14,0.661170858,0.766666667,0.120212883
0.5,6.65,1.79E-13,0.663474543,0.766666667,0.117429123
0.5,6.8,-4.05E-15,0.66567544,0.766666667,0.114771628
0.5,6.95,-4.22E-15,0.667780418,0.766666667,0.112232003
0.5,7.1,3.97E-15,0.669795743,0.766666667,0.109802581
0.5,7.25,-7.21E-15,0.67172714,0.766666667,0.107476342
0.5,7.4,-3.12E-14,0.673579855,0.766666667,0.105246852
0.5,7.55,1.36E-14,0.675358701,0.766666667,0.103108199
0.5,7.7,-1.32E-14,0.677068101,0.766666667,0.10105494
0.5,7.85,-3.24E-13,0.678712132,0.766666667,0.099082063
0.5,8,-1.61E-14,0.680294552,0.766666667,0.097184936
0.65,0.5,-2.04E-13,2.96E-15,0.766666667,0.875595036
0.65,0.65,1.79E-14,9.93E-14,0.766666667,0.875595036
