alpha,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.001,0.5,-2.5786371129486525e-11,6.707359835339022e-11,1.61583632272267e-11,-7.918765277236046e-11
0.001,0.65,9.070041839748289e-13,1.957668103539594e-13,-1.0651374233455521e-12,-9.435082949884336e-12
0.001,0.8,-4.183303831143587e-11,-2.012634228221119e-12,3.458635539346269e-11,-5.409034085190382e-12
0.001,0.95,-3.355350608182998e-11,-1.0438110945492883e-12,3.288963788212325e-11,6.678125410940163e-13
0.001,1.1,1.6391400830807438e-12,-1.238492395724831e-10,-1.3275141334954087e-12,1.3826612120207377e-10
0.001,1.25,3.4769917200841277e-12,-2.1417670565490635e-12,-2.925500367894888e-12,3.2357342306730446e-12
0.001,1.4,3.335528457609289e-11,-3.3413396489458924e-11,-2.7854162321848675e-11,4.1147483424239606e-11
0.001,1.55,-1.6193112172316567e-11,2.0103279571401436e-11,1.3602993632687163e-11,-2.4408763585381815e-11
0.001,1.7,2.1426339355084497e-11,2.313523890160083e-11,-1.747352265768481e-11,-1.786431809878557e-11
0.001,1.85,4.70681482378517e-11,3.251295582159134e-12,-3.8599576805566256e-11,5.372530255415794e-12
0.001,2.0,-4.0763084400000724e-11,1.3356203347323011e-11,3.323490561652996e-11,-1.8897936408426584e-11
0.001,2.15,-5.286065895042275e-11,-1.3676173850112706e-11,4.286662015433019e-11,8.216602552669236e-12
0.001,2.3,-1.8361999890028416e-12,-6.801474486012306e-12,1.4797676957456576e-12,8.389913420181229e-12
0.001,2.45,-8.088841531488097e-13,-3.0163260970888455e-11,7.169528750222524e-13,2.565110099348275e-11
0.001,2.6,-1.5984716910729086e-13,-1.0910299796945217e-11,1.322618558632803e-13,8.784219889752256e-12
0.001,2.75,-3.341768457028248e-14,5.287067504314384e-12,1.6190925034644347e-14,-4.281367110403274e-12
0.001,2.9,-2.0001388359204725e-10,-3.5605862639014276e-10,1.6249411478160736e-10,2.6389180550856965e-10
0.001,3.05,1.7328592825316464e-15,7.826698385562465e-12,-4.42524784321777e-16,-6.095989150966127e-12
0.001,3.2,-3.5414319143254644e-14,9.514820209538017e-13,3.227228369720298e-14,-9.435900665142528e-13
0.001,3.35,-7.870530296309584e-15,-8.250173006471944e-11,6.90571151489714e-21,6.854788347628929e-11
0.001,3.5,2.85595952170156e-16,-7.574548680912337e-13,-4.283417317063776e-17,4.059095044821849e-13
0.001,3.65,-2.6566210374476863e-15,-2.3799474960048177e-11,1.556371562349849e-23,2.2154813855655364e-11
0.001,3.8,-6.029189104399358e-15,2.9120363350911104e-11,-3.4183342847960134e-23,-2.382123298898206e-11
0.001,3.95,-5.403638311446269e-15,3.5570899072651827e-13,3.402075242380992e-16,-2.9809145996594e-13
0.001,4.1,-8.781785968421726e-15,1.5074782696232103e-11,-8.040938747338912e-24,-1.896295842078184e-11
0.001,4.25,-7.581017498799806e-15,1.5453936523358498e-11,-4.022240108111329e-24,-1.2320572513782619e-11
0.001,4.4,-1.2509933747429745e-14,-2.930384103843351e-11,-1.4552646702247656e-24,2.3968372210780186e-11
0.001,4.55,-2.552700830552706e-14,-5.764237146530593e-12,1.6922219620681444e-22,4.696253161018707e-12
0.001,4.7,-1.4069690668790999e-14,-1.828547051937157e-11,1.8404863390055687e-22,1.511439364850251e-11
0.001,4.85,-8.483208257459043e-15,7.386607731177395e-13,-1.3509362454677192e-23,-6.985691089252122e-13
0.001,5.0,-4.7364405173997e-15,-3.8035268979860234e-11,-2.907509085714694e-22,3.196259119541891e-11
0.001,5.15,-6.550230943246269e-15,6.635980721265865e-12,1.218961668695015e-18,-5.2769772137321594e-12
0.001,5.3,3.612903537854506e-15,1.774811893697909e-11,1.0217791282058146e-24,-1.4556189548785445e-11
