p,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.001,0.5,1.37E-15,-1.42E-12,2.26E-22,1.51E-12
0.001,0.65,-3.49E-16,6.42E-16,8.67E-23,3.85E-20
0.001,0.8,3.37E-13,-1.10E-11,-1.57E-21,1.13E-11
0.001,0.95,1.86E-12,2.93E-12,-2.38E-24,-1.13E-18
0.001,1.1,-6.16E-16,-2.66E-11,-2.65E-22,2.67E-11
0.001,1.25,9.25E-13,3.31E-12,-4.51E-20,1.93E-13
0.001,1.4,-3.90E-10,-8.85E-10,3.95E-18,4.99E-13
0.001,1.55,-5.45E-15,-1.16E-14,-5.85E-24,4.77E-18
0.001,1.7,1.52E-11,2.34E-11,-4.60E-18,2.10E-14
0.001,1.85,5.09E-11,1.22E-10,2.56E-22,3.27E-14
0.001,2,4.36E-14,-8.07E-14,-4.49E-21,-1.19E-16
0.001,2.15,2.17E-13,4.67E-13,1.63E-20,-2.30E-17
0.001,2.3,4.45E-12,1.60E-11,-7.98E-22,-9.56E-20
0.001,2.45,-6.58E-14,-3.01E-13,-2.53E-21,9.31E-18
0.001,2.6,-3.70E-13,-1.19E-12,4.82E-22,9.98E-20
0.001,2.75,2.84E-11,6.94E-11,-1.48E-19,-3.92E-18
0.001,2.9,-9.78E-13,-2.62E-12,-5.52E-20,-1.39E-18
0.001,3.05,1.09E-11,3.08E-11,-1.44E-20,-3.10E-19
0.001,3.2,-4.89E-12,-3.60E-12,2.74E-19,2.88E-18
0.001,3.35,-5.31E-10,-9.32E-10,8.96E-19,-2.91E-16
0.001,3.5,4.51E-12,1.56E-11,1.25E-18,-3.05E-18
0.001,3.65,4.36E-12,-4.60E-12,8.53E-20,6.50E-19
0.001,3.8,4.67E-13,1.32E-12,4.68E-22,1.08E-21
0.001,3.95,-1.92E-11,-3.81E-11,1.22E-19,9.20E-19
0.001,4.1,3.98E-12,6.56E-12,-2.06E-21,1.30E-20
0.001,4.25,3.44E-13,8.05E-13,-5.36E-20,-3.17E-19
0.001,4.4,2.89E-10,1.31E-09,-3.95E-15,-2.38E-14
0.001,4.55,1.04E-12,1.43E-12,2.58E-20,1.36E-19
0.001,4.7,-2.16E-12,-8.00E-12,3.51E-18,1.58E-17
0.001,4.85,4.18E-13,6.63E-13,-3.63E-21,-3.49E-20
0.001,5,1.18E-13,3.52E-13,-4.41E-21,-3.86E-20
0.001,5.15,5.61E-12,5.98E-12,-1.08E-22,6.95E-21
0.001,5.3,-1.49E-12,-3.28E-12,-6.03E-19,-2.35E-18
0.001,5.45,5.16E-14,8.57E-14,-7.57E-22,-1.11E-20
0.001,5.6,-2.34E-11,-5.92E-11,6.37E-20,1.76E-19
0.001,5.75,1.52E-12,1.39E-12,2.76E-21,-6.90E-21
0.001,5.9,2.75E-13,8.35E-13,9.78E-20,2.86E-19
0.001,6.05,-2.38E-12,-1.66E-11,-3.71E-18,-1.03E-17
0.001,6.2,-5.14E-12,-2.18E-11,-1.20E-18,-4.43E-18
0.001,6.35,5.19E-12,1.16E-11,2.68E-22,9.06E-21
0.001,6.5,-3.99E-13,-8.21E-13,-1.44E-21,-6.17E-21
0.001,6.65,-1.75E-11,-1.71E-11,-5.22E-19,-7.62E-19
0.001,6.8,1.96E-13,1.52E-12,-3.74E-21,-1.02E-20
0.001,6.95,1.04E-13,3.34E-13,1.29E-19,2.88E-19
0.001,7.1,-1.64E-12,-1.43E-12,-3.56E-19,-8.23E-19
0.001,7.25,-3.16E-11,-9.55E-11,5.90E-19,9.00E-19
0.001,7.4,-9.75E-15,5.90E-14,-1.99E-22,-1.62E-17
0.001,7.55,-4.27E-15,-1.81E-14,-5.26E-24,6.63E-21
0.001,7.7,-3.03E-13,-2.41E-12,1.14E-19,2.08E-19
0.001,7.85,-2.48E-11,-7.95E-11,1.07E-19,2.13E-19
0.001,8,7.83E-14,1.17E-13,4.93E-22,9.35E-22
0.021,0.5,-9.07E-14,-9.10E-13,2.02E-15,-4.46E-12
0.021,0.65,-3.75E-16,-6.99E-13,9.04E-22,8.71E-13
0.021,0.8,-1.52E-12,-2.02E-12,-3.02E-19,-1.10E-12
0.021,0.95,2.39E-15,-3.71E-12,-7.38E-20,4.49E-12
0.021,1.1,-3.03E-14,6.03E-12,3.85E-15,-8.98E-12
0.021,1.25,6.79E-13,2.98E-12,-1.12E-19,-3.26E-13
0.021,1.4,1.70E-15,8.04E-15,3.78E-22,8.78E-17
0.021,1.55,1.42E-14,-8.55E-12,3.27E-21,1.35E-11
0.021,1.7,-9.59E-12,-3.75E-11,9.09E-19,-1.24E-15
0.021,1.85,-1.56E-11,-4.95E-11,7.90E-20,3.09E-12
0.021,2,-2.44E-15,-9.68E-15,-9.48E-24,-3.46E-19
0.021,2.15,-5.84E-16,-4.94E-15,-3.61E-21,-1.10E-16
0.021,2.3,2.28E-12,4.84E-12,-1.75E-20,4.83E-19
0.021,2.45,-1.60E-11,-2.96E-11,-1.82E-18,-1.66E-16
0.021,2.6,1.17E-13,3.04E-13,-2.88E-21,-1.29E-16
0.021,2.75,4.00E-10,1.87E-09,-7.53E-17,-5.38E-14
0.021,2.9,3.81E-11,5.17E-11,1.00E-18,2.45E-17
0.021,3.05,5.08E-14,1.15E-13,-1.02E-22,-1.75E-21
0.021,3.2,-1.70E-12,-5.98E-12,1.21E-20,-1.32E-13
0.021,3.35,-3.15E-11,-5.22E-11,6.45E-21,2.36E-18
0.021,3.5,2.14E-12,9.93E-12,4.74E-20,-5.40E-19
0.021,3.65,6.64E-14,5.22E-13,2.47E-19,1.13E-17
0.021,3.8,5.37E-10,8.56E-10,-1.04E-16,-1.66E-14
0.021,3.95,1.28E-12,2.52E-12,-1.82E-19,8.07E-16
0.021,4.1,-3.60E-13,-9.68E-13,1.64E-19,1.51E-18
0.021,4.25,-1.91E-11,-4.12E-11,-5.00E-20,-3.14E-19
0.021,4.4,6.93E-13,1.72E-12,4.23E-20,1.90E-19
0.021,4.55,-2.47E-11,-3.63E-11,2.00E-20,4.06E-19
0.021,4.7,7.70E-11,2.57E-10,8.97E-19,5.78E-17
0.021,4.85,-1.73E-11,-3.82E-11,-1.10E-17,-4.01E-17
0.021,5,-5.57E-12,-2.06E-11,-1.36E-20,-7.67E-18
0.021,5.15,3.44E-14,1.34E-13,-2.36E-21,-8.00E-21
0.021,5.3,-6.27E-11,-2.01E-10,3.09E-17,6.94E-17
0.021,5.45,2.68E-13,3.55E-12,3.25E-19,5.03E-16
0.021,5.6,3.37E-12,8.11E-12,-9.89E-21,-5.15E-19
0.021,5.75,-2.14E-11,-6.21E-11,-2.51E-19,7.46E-17
0.021,5.9,-3.19E-10,2.50E-09,5.51E-14,1.49E-13
0.021,6.05,2.65E-14,8.75E-14,6.31E-21,-3.35E-19
0.021,6.2,-3.45E-12,-2.41E-11,-1.62E-18,-4.00E-18
0.021,6.35,3.95E-11,7.45E-11,-1.47E-17,-3.50E-17
0.021,6.5,2.58E-12,4.23E-12,-3.08E-22,3.72E-17
0.021,6.65,4.62E-14,1.06E-13,-1.61E-20,-7.49E-18
0.021,6.8,-1.55E-11,-4.45E-11,1.37E-20,-6.97E-18
0.021,6.95,6.78E-13,1.27E-12,-1.17E-22,-5.60E-16
0.021,7.1,1.23E-13,2.64E-13,-1.84E-26,-1.85E-21
0.021,7.25,2.33E-12,7.01E-12,2.22E-18,4.52E-18
0.021,7.4,-3.87E-15,-1.35E-14,-1.32E-28,1.23E-24
0.021,7.55,-5.38E-11,-1.52E-10,3.05E-19,-2.47E-19
0.021,7.7,-3.85E-15,-1.52E-14,9.59E-27,2.28E-18
0.021,7.85,-2.35E-11,-2.59E-11,2.88E-18,-1.18E-16
0.021,8,-3.18E-14,-8.08E-14,-3.59E-22,1.77E-18
0.041,0.5,5.16E-16,3.52E-13,-6.96E-17,-5.56E-13
0.041,0.65,1.39E-15,1.35E-12,-3.17E-19,-1.90E-12
0.041,0.8,-1.50E-11,-1.22E-10,-5.05E-14,5.07E-11
0.041,0.95,-2.58E-15,-1.03E-14,1.13E-22,3.60E-19
0.041,1.1,5.44E-13,2.81E-12,-3.82E-18,-3.45E-13
0.041,1.25,-1.62E-13,4.35E-12,-8.00E-17,-9.34E-12
0.041,1.4,7.19E-13,2.84E-12,4.38E-19,-4.53E-13
0.041,1.55,1.48E-13,7.41E-13,-1.00E-18,-3.09E-15
0.041,1.7,4.17E-13,3.89E-13,-4.16E-20,-1.83E-15
0.041,1.85,5.47E-12,2.24E-11,-4.47E-18,-1.67E-13
0.041,2,-1.16E-12,-3.26E-12,-1.23E-20,6.02E-15
0.041,2.15,2.85E-14,9.09E-14,-3.89E-21,-4.00E-16
0.041,2.3,2.90E-12,1.27E-11,-7.18E-21,-1.55E-18
0.041,2.45,-1.00E-13,-1.74E-13,1.50E-19,1.07E-16
0.041,2.6,8.02E-13,2.89E-12,-3.37E-18,7.66E-16
0.041,2.75,8.69E-12,1.33E-11,1.68E-18,8.00E-17
0.041,2.9,2.22E-11,7.67E-11,3.48E-19,1.72E-16
0.041,3.05,2.04E-11,5.47E-11,5.47E-18,3.31E-15
0.041,3.2,-1.83E-10,-7.78E-10,1.19E-16,2.02E-13
0.041,3.35,1.68E-11,1.45E-11,-7.24E-20,-3.21E-18
0.041,3.5,3.54E-13,-2.24E-12,8.45E-20,3.40E-12
0.041,3.65,-8.03E-11,-4.95E-10,-1.90E-16,2.73E-15
0.041,3.8,-1.88E-11,-3.61E-11,3.23E-19,-4.73E-15
0.041,3.95,3.17E-13,6.07E-13,-2.33E-18,-3.61E-14
0.041,4.1,8.87E-12,9.26E-12,-1.79E-18,-1.43E-17
0.041,4.25,3.00E-12,8.72E-12,-1.68E-19,1.79E-17
0.041,4.4,-3.48E-10,-1.10E-09,-4.64E-17,5.55E-15
0.041,4.55,6.07E-12,1.08E-11,4.52E-18,1.97E-17
0.041,4.7,4.59E-13,9.57E-13,-1.24E-19,-3.05E-15
0.041,4.85,3.46E-12,1.20E-11,3.27E-18,-1.49E-16
0.041,5,4.32E-12,1.63E-11,1.68E-18,-4.51E-16
0.041,5.15,-6.39E-12,-1.49E-11,1.40E-19,-7.97E-18
0.041,5.3,7.42E-15,1.10E-14,4.12E-24,-2.22E-17
0.041,5.45,2.63E-12,-5.20E-11,6.12E-18,-7.92E-17
0.041,5.6,-4.10E-12,-9.98E-12,2.31E-18,6.13E-18
0.041,5.75,-1.79E-13,-3.99E-13,5.44E-20,-5.77E-16
0.041,5.9,-3.56E-14,-1.06E-13,-8.24E-22,9.22E-22
0.041,6.05,-4.20E-14,-1.03E-13,1.06E-18,2.78E-16
0.041,6.2,-3.99E-15,6.64E-15,4.84E-24,2.75E-14
0.041,6.35,-3.34E-13,-1.13E-12,-5.04E-19,-1.15E-18
0.041,6.5,2.01E-13,3.46E-13,-1.70E-20,-3.71E-19
0.041,6.65,-1.16E-14,-7.46E-14,2.65E-22,-3.73E-20
0.041,6.8,-1.17E-14,-6.19E-14,1.15E-21,2.41E-21
0.041,6.95,9.12E-15,1.56E-13,-1.80E-27,2.01E-21
0.041,7.1,-3.25E-14,-6.98E-14,2.12E-22,-9.27E-21
0.041,7.25,1.03E-11,3.58E-11,5.22E-19,-2.34E-17
0.041,7.4,9.55E-12,2.09E-11,-7.24E-22,2.09E-19
0.041,7.55,-1.35E-14,-2.72E-14,3.45E-22,1.34E-20
0.041,7.7,-2.74E-11,-7.62E-11,-1.64E-18,9.79E-14
0.041,7.85,-2.68E-15,-5.83E-15,4.53E-26,1.44E-19
0.041,8,9.10E-10,1.52E-09,-6.65E-19,1.73E-16
0.061,0.5,-3.61E-15,-2.62E-10,1.19E-16,4.19E-10
0.061,0.65,-2.55E-14,1.20E-11,3.61E-15,-2.72E-11
